id,ids,url,source,localPath,status,format,width,height,blackRatio,whiteRatio,grayRatio,hsvSaturationOverThresholdRatio,rgbSaturationOverThresholdRatio,rgbNonGrayRatio,decodedRgbSha256,issues,error
page-ancient-mythology-28,page-ancient-mythology-28,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Mythical_Warrior_1788560073852.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-29,page-ancient-mythology-29,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Mythical_Winged_Beast_1788560195972.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-30,page-ancient-mythology-30,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Mythical_Winged_Horse.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-31,page-ancient-mythology-31,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_Ascending_1788269130914.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-32,page-ancient-mythology-32,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_Over_Classical_Building_1788269391678.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-33,page-ancient-mythology-33,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_Overlooking_Ancient_Greece_1788269383590.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-34,page-ancient-mythology-34,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_Standing_on_Rocks_1788268504606.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-35,page-ancient-mythology-35,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_Statue_1788269011595.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-36,page-ancient-mythology-36,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_Statue_1788269211789.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-37,page-ancient-mythology-37,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_atop_a_classical_building_1788269735692.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-38,page-ancient-mythology-38,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_in_Ancient_Ruins_1788266857039.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-39,page-ancient-mythology-39,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_in_Ruins_1788270095528.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-40,page-ancient-mythology-40,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_in_Ruins_1788560224134.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-41,page-ancient-mythology-41,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_in_ancient_temple_1788268775580.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-42,page-ancient-mythology-42,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_in_flight_1788268532867.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-43,page-ancient-mythology-43,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_in_flight_1788269440253.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-44,page-ancient-mythology-44,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_in_flight_1788270034901.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-45,page-ancient-mythology-45,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_in_flight_1788270154175.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-46,page-ancient-mythology-46,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_in_flight_1788270164258.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-47,page-ancient-mythology-47,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_in_flight_1788270204667.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-48,page-ancient-mythology-48,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_in_flight_over_an_open_book.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-49,page-ancient-mythology-49,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_in_flight_over_waves_1788269826682.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
